LncRNA,F1:RiskSNP,F2:commonSNP,F5:TF(motif),F55:miRNA,F56:mRNA,F57:Protein,F58:Hallmark,F3:TF(ChIP-seq),F4:Core TF(ChIP-seq),F8:Histone modification,F9:ATAC-seq peak of cistrome & gene_mapper,F10:DHS & gene_mapper,F11:ATAC of cistrome & DHS & gene_mapper,F13:Element number of SE & gene_mapper,F14:Case ChIP signal of SE & gene_mapper,F15:Normalized rank of SE & gene_mapper,F17:Element number of TE & gene_mapper,F18:Case ChIP signal of TE & gene_mapper,F19:Normalized rank of TE & gene_mapper,F20:Element number of TE/SE & gene_mapper,F21:Case ChIP signal of TE/SE & gene_mapper,F22:Normalized rank of TE/SE & gene_mapper,F6:Methylation site,F7:Methylation value,F12:SE & gene_mapper,F16:TE & gene_mapper,F24:Global chromatin interaction,F25:SE/TE & interaction,F26:SE & interaction,F27:TE & interaction,F40:SE/TE & interaction & gene_mapper,F41:SE & interaction & gene_mapper,F42:TE & interaction & gene_mapper,F28:Element number of SE/TE & interaction,F29:Case ChIP signal of SE/TE & interaction,F30:Normalized rank of SE/TE & interaction,F31:Element number of SE & interaction,F32:Case ChIP signal of SE & interaction,F33:Normalized rank of SE & interaction,F34:Element number of TE & interaction,F35:Case ChIP signal of TE & interaction,F36:Normalized rank of TE & interaction,F43:Element number of SE/TE & interaction & gene_mapper,F44:Case ChIP signal of SE/TE & interaction & gene_mapper,F45:Normalized rank of SE/TE & interaction & gene_mapper,F46:Element number of SE & interaction & gene_mapper,F47:Case ChIP signal of SE & interaction & gene_mapper,F48:Normalized rank of SE & interaction & gene_mapper,F49:Element number of TE & interaction & gene_mapper,F50:Case ChIP signal of TE & interaction & gene_mapper,F51:Normalized rank of TE & interaction & gene_mapper,F37:ATAC-seq peak of cistrome & interaction,F39:DHS & interaction,F52:ATAC-seq peak of cistrome & interaction & gene_mapper,F53:DHS & interaction & gene_mapper,F23:ATAC of cistrome & ATAC of ATACdb & gene_mapper,F38:ATAC of ATACdb & interaction,F54:ATAC of ATACdb & interaction & gene_mapper
A1BG-AS1,0,48,49,6,0,373,0,44,1,2,64,52,116,5,29435.306,597,1,4693.375578,16251,1,0,19181,5,7.744444,10,123,13,181,30,151,10,67,77,1,11734.46242,19015,6,30268.47919,683,1,6515.729999,17730,1,8863.04246,18094.5,7,29532.99027,634,1,5506.384268,17551,58,47,23,18,18,14,6
A2M-AS1,0,54,126,0,0,295,0,61,1,3,25,21,46,0,0,0,1,3051.851844,12472,0,0,23954,3,7.066667,0,18,19,78,4,74,0,0,0,1,5277.647617,16273,11,27056.81135,650,1,3784.219246,16030,0,0,0,0,0,0,0,0,0,45,39,1,0,1,12,0
A2ML1-AS1,0,73,62,0,0,180,0,11,1,1,20,23,43,0,0,0,1.5,3425.079817,12032.5,0,0,23954,1,7.36,0,12,24,92,4,88,0,7,7,1,6451.706672,16228,11,26586.23419,650,1,3612.222023,14985,3,5428.087108,18629,0,0,0,3,5428.087108,18629,53,46,7,3,0,13,0
A2ML1-AS2,0,64,24,0,0,179,0,46,1,2,16,18,34,0,0,0,1.5,3425.079817,12032.5,0,0,23954,6,6.431818,0,12,29,96,4,92,0,11,11,2,5787.459411,16055,11,26586.23419,650,2,3993.055313,14963,3,4829.114974,18629,0,0,0,3,4829.114974,18629,61,52,15,9,0,13,0
AB015752.3,0,45,24,0,0,0,0,19,1,3,20,32,52,3,46442.057,968.5,1,4087.466602,17447,1,0,19822,2,6.7425,2,47,8,37,2,35,1,27,28,1,6346.587818,17975,2,24366.69676,910,1,5304.963024,17688,1,6290.761298,17796,2,21986.2224,910,1,5434.645238,17509,10,17,7,9,10,8,7
AB019440.50,0,50,15,0,0,0,0,21,1,2,8,11,19,0,0,0,1,469.19592,19945,1,0,20041,11,6.355294,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
ABCA9-AS1,0,45,20,0,0,92,0,12,1,0,11,21,32,0,0,0,1,2747.75841,15111,1,0,21478,1,6.54,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC5-AS1,1,43,31,0,0,248,0,49,1,4,74,43,117,5,42131.582,805,1,6065.074292,17117,0,0,23954,1,7.135,1,53,19,206,10,196,1,34,35,2,12657.52323,20264,9,76075.01139,1095,2,8084.725222,19870,3,9612.910233,18954,5,42131.5818,813,3,9088.415531,18954,72,82,15,13,20,51,8
AC000032.2,0,51,17,0,0,0,0,37,1,1,33,31,64,6.5,35624.6775,826.5,1,4320.467761,13586,1,0,6137,0,0,2,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
AC000036.4,2,54,52,0,0,0,0,9,1,0,22,38,60,0,0,0,1,2630.227024,15091.5,0,0,23954,4,7.36875,0,38,2,10,1,9,0,4,4,1,12991.47895,15350,15,43666.4072,892,1,2165.033682,11118,1,563.143025,10175,0,0,0,1,563.143025,10175,8,3,4,1,15,0,0
AC000067.1,0,56,39,0,0,170,0,23,1,1,88,77,165,3,25110.895,789,1,4351.439784,14457.5,0,0,23954,2,8.7375,4,88,10,57,3,54,0,16,16,1,9536.467931,17149,19,72797.14649,1077,1,4313.109151,16893,1,1618.141388,10535,0,0,0,1,1618.141388,10535,19,24,6,7,0,4,0
AC000068.10,0,41,8,0,0,0,0,52,1,3,32,43,75,0,0,0,1,4396.900635,17995.5,0,0,23954,5,8.209,0,88,17,67,2,65,0,55,55,1,6302.456741,18638,19,80012.41752,1077,1,5407.918382,18322,1,5344.843196,18301,0,0,0,1,5344.843196,18301,20,24,15,19,10,10,9
AC000068.5,2,40,23,8,0,0,0,51,1,5,22,39,61,0,0,0,1,4939.334008,18693.5,0,0,23954,3,8.326667,0,76,17,67,2,65,0,55,55,1,6783.861868,19985,19,80012.41752,1077,1,5920.31758,19985,1,5871.447452,19806,0,0,0,1,5871.447452,19806,20,24,15,19,10,10,9
AC000068.9,0,34,9,0,0,0,0,51,1,5,21,34,55,0,0,0,1,4878.086001,18687,1,0,19354,5,8.209,0,77,18,67,2,65,0,55,55,1,5887.209624,18184,19,80012.41752,1077,1,5116.677318,18184,1,5056.658983,18005,0,0,0,1,5056.658983,18005,20,24,15,19,10,10,9
AC000099.1,2,61,18,0,0,0,0,9,1,1,18,23,41,0,0,0,1,1221.55585,10772,0,0,23954,1,4.55,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
AC000111.3,0,24,11,0,0,0,0,19,1,1,17,16,33,0,0,0,1,825.6255286,6452,1,0,5078,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000111.6,0,30,1,0,0,0,0,22,1,1,24,22,46,0,0,0,2,4026.771514,10855,0,0,23954,0,0,0,14,1,7,0,7,0,7,7,2,2518.525714,11867,0,0,0,2,2518.525714,11867,2,2518.525714,11688,0,0,0,2,2518.525714,11688,4,3,4,3,1,0,0
