LncRNA,F1:RiskSNP,F2:commonSNP,F5:TF(motif),F55:miRNA,F56:mRNA,F57:Protein,F58:Hallmark,F3:TF(ChIP-seq),F4:Core TF(ChIP-seq),F8:Histone modification,F9:ATAC-seq peak of cistrome & gene_mapper,F10:DHS & gene_mapper,F11:ATAC of cistrome & DHS & gene_mapper,F13:Element number of SE & gene_mapper,F14:Case ChIP signal of SE & gene_mapper,F15:Normalized rank of SE & gene_mapper,F17:Element number of TE & gene_mapper,F18:Case ChIP signal of TE & gene_mapper,F19:Normalized rank of TE & gene_mapper,F20:Element number of TE/SE & gene_mapper,F21:Case ChIP signal of TE/SE & gene_mapper,F22:Normalized rank of TE/SE & gene_mapper,F6:Methylation site,F7:Methylation value,F12:SE & gene_mapper,F16:TE & gene_mapper,F24:Global chromatin interaction,F25:SE/TE & interaction,F26:SE & interaction,F27:TE & interaction,F40:SE/TE & interaction & gene_mapper,F41:SE & interaction & gene_mapper,F42:TE & interaction & gene_mapper,F28:Element number of SE/TE & interaction,F29:Case ChIP signal of SE/TE & interaction,F30:Normalized rank of SE/TE & interaction,F31:Element number of SE & interaction,F32:Case ChIP signal of SE & interaction,F33:Normalized rank of SE & interaction,F34:Element number of TE & interaction,F35:Case ChIP signal of TE & interaction,F36:Normalized rank of TE & interaction,F43:Element number of SE/TE & interaction & gene_mapper,F44:Case ChIP signal of SE/TE & interaction & gene_mapper,F45:Normalized rank of SE/TE & interaction & gene_mapper,F46:Element number of SE & interaction & gene_mapper,F47:Case ChIP signal of SE & interaction & gene_mapper,F48:Normalized rank of SE & interaction & gene_mapper,F49:Element number of TE & interaction & gene_mapper,F50:Case ChIP signal of TE & interaction & gene_mapper,F51:Normalized rank of TE & interaction & gene_mapper,F37:ATAC-seq peak of cistrome & interaction,F39:DHS & interaction,F52:ATAC-seq peak of cistrome & interaction & gene_mapper,F53:DHS & interaction & gene_mapper,F23:ATAC of cistrome & ATAC of ATACdb & gene_mapper,F38:ATAC of ATACdb & interaction,F54:ATAC of ATACdb & interaction & gene_mapper
A1BG-AS1,0,48,49,6,0,373,0,18,1,2,29,26,55,4,40090.785,544,1,10717.50742,11725.5,0,0,19962,5,7.74,2,94,44,234,21,213,2,94,96,2,14182.62623,13932,4,45651.51738,402,1,12851.49005,13790,1,12393.65991,12711,4,40090.7857,544,1,11643.06029,12611,97,78,29,26,135,409,135
A2M-AS1,0,54,126,0,0,295,0,34,2,1,10,19,29,0,0,0,1,1731.1595,7920,1,0,7654,5,5.462222,0,17,21,100,0,100,0,0,0,1,9561.360581,13789,0,0,0,1,9561.360581,13789,0,0,0,0,0,0,0,0,0,38,34,0,0,38,214,0
A2ML1-AS1,0,73,62,0,0,180,0,3,0,0,16,11,27,0,0,0,1,791.7456,4290,1,0,4290,1,7.38,0,1,19,52,0,52,0,0,0,1,7648.486582,13109,0,0,0,1,7648.486582,13109,0,0,0,0,0,0,0,0,0,35,19,7,1,33,138,21
A2ML1-AS2,0,64,24,0,0,179,0,7,0,0,14,6,20,0,0,0,0,0,0,0,0,0,6,7.135455,0,0,20,38,0,38,0,0,0,1,5335.534214,8572,0,0,0,1,5335.534214,8572,0,0,0,0,0,0,0,0,0,36,27,8,2,33,161,23
AB015752.3,0,45,24,0,0,0,0,1,0,3,6,17,23,0,0,0,1,8684.284849,13105,1,0,14714,2,7.98,0,35,2,20,0,20,0,20,20,1,13529.56219,14219,0,0,0,1,13529.56219,14219,1,13529.56219,13951,0,0,0,1,13529.56219,13951,6,6,5,4,50,37,28
AB019440.50,0,50,15,0,0,0,0,4,0,0,1,3,4,0,0,0,0,0,0,0,0,0,12,6.469565,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0
ABCA9-AS1,0,45,20,0,0,92,0,2,0,1,7,35,42,0,0,0,1,3211.977694,7752,1,0,5386,1,8.13,0,33,20,6,0,6,0,0,0,1,635.89702,2007.5,0,0,0,1,635.89702,2007.5,0,0,0,0,0,0,0,0,0,9,38,1,5,37,27,0
ABCC5-AS1,1,43,31,0,0,248,0,9,1,3,100,18,118,0,0,0,1,3573.851218,9472.5,0,0,19962,1,8.225,0,34,57,173,2,171,0,33,33,1,9564.968226,12596,5,26915.05067,531,1,9507.770152,12596,2,4046.457697,9492.5,0,0,0,2,4046.457697,9492.5,194,69,87,11,141,603,135
AC000032.2,0,51,17,0,0,0,0,0,0,0,17,22,39,0,0,0,1,1859.244423,5287,1,0,4708,0,0,0,39,17,94,10,84,0,39,39,1,5708.658206,7093,4,32253.81412,402,1,4273.784914,6862,1,1916.705917,5074,0,0,0,1,1916.705917,5074,31,30,12,12,102,201,79
AC000036.4,2,54,52,0,0,0,0,4,0,0,11,14,25,0,0,0,1,6809.883668,13317,1,0,14118,4,6.555,0,25,10,18,0,18,0,5,5,1,1467.870902,2939,0,0,0,1,1467.870902,2939,1,504.24556,1803,0,0,0,1,504.24556,1803,10,4,6,2,97,52,8
AC000067.1,0,56,39,0,0,170,0,5,2,1,69,64,133,0,0,0,1,3994.951918,7406,0,0,19962,2,8.8025,0,66,38,106,0,106,0,31,31,1,9371.282845,14111,0,0,0,1,9371.282845,14111,1,1988.511719,5631,0,0,0,1,1988.511719,5631,44,52,22,28,20,133,20
AC000068.10,0,41,8,0,0,0,0,24,1,4,19,26,45,0,0,0,1,8651.167743,11973,0,0,19962,6,7.307273,0,60,54,145,0,145,0,40,40,1,9960.978388,13354,0,0,0,1,9960.978388,13354,1,10688.56256,12751,0,0,0,1,10688.56256,12751,67,80,13,18,76,234,54
AC000068.5,2,40,23,8,0,0,0,25,2,4,15,23,38,0,0,0,1,8651.167743,11973,0,0,19962,4,6.995714,0,60,28,145,0,145,0,40,40,1,9833.91874,13383,0,0,0,1,9833.91874,13383,1,10845.50758,12777.5,0,0,0,1,10845.50758,12777.5,54,69,9,15,76,223,52
AC000068.9,0,34,9,0,0,0,0,24,1,5,13,23,36,0,0,0,1,8651.167743,11973,0,0,19962,6,7.307273,0,60,54,145,0,145,0,40,40,1,9960.978388,13354,0,0,0,1,9960.978388,13354,1,10688.56256,12751,0,0,0,1,10688.56256,12751,67,80,8,17,76,234,54
AC000099.1,2,61,18,0,0,0,0,0,0,2,10,21,31,0,0,0,1.5,1296.957483,6544,0,0,19962,1,5.7,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
AC000111.3,0,24,11,0,0,0,0,9,0,3,22,19,41,0,0,0,1,3578.536456,5564.5,0,0,19962,0,0,0,18,3,2,0,2,0,1,1,9,9187.39884,17934,0,0,0,9,9187.39884,17934,9,11099.754,17666,0,0,0,9,11099.754,17666,1,2,1,0,19,5,0
AC000111.6,0,30,1,0,0,0,0,12,1,3,36,26,62,0,0,0,1,2284.443293,4967,1,0,3781,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,0,0
AC000120.7,0,30,22,12,0,0,0,3,0,3,17,14,31,0,0,0,1,15524.8234,14619.5,0,0,19962,0,0,0,22,8,40,0,40,0,20,20,1,16058.2296,14451,0,0,0,1,16058.2296,14451,1,17015.92698,14287.5,0,0,0,1,17015.92698,14287.5,14,9,7,5,43,63,26
AC000123.4,0,63,21,0,0,0,0,17,1,2,12,15,27,0,0,0,1,12095.9615,13928,0,0,19962,4,6.7325,0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,41,0,0
AC000124.1,0,75,13,0,0,0,0,4,0,0,3,7,10,0,0,0,0,0,0,0,0,0,1,2.63,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0
AC000370.2,0,58,42,0,0,0,0,0,0,2,9,27,36,0,0,0,1,12579.29852,6545,1,0,6244,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
AC002044.4,1,58,33,0,0,0,0,39,5,2,63,67,130,2,37812.11,625,2,14389.46804,16381,0,0,19962,1,4.41,14,52,28,116,14,102,14,32,46,2,26927.3026,18481.5,2,38153.90461,625,2,20444.33525,17636,2,22881.83729,17644,2,38153.90461,625,2,16148.99041,16972,36,61,17,23,186,190,46
AC002056.5,0,60,50,0,0,115,0,0,0,0,11,13,24,0,0,0,1,6809.883668,13317,1,0,14118,0,0,0,25,10,18,0,18,0,5,5,1,1467.870902,2939,0,0,0,1,1467.870902,2939,1,504.24556,1803,0,0,0,1,504.24556,1803,10,4,6,2,97,52,8
AC002059.10,0,43,70,0,0,0,0,3,0,1,35,39,74,1,26755.66,16,1,21032.13749,16626.5,1,0,16499,2,6.985,1,40,16,45,0,45,0,21,21,1,15927.68913,12210,0,0,0,1,15927.68913,12210,1,18290.91488,12036.5,0,0,0,1,18290.91488,12036.5,24,21,19,10,92,82,31
