LncRNA,F1:RiskSNP,F2:commonSNP,F5:TF(motif),F55:miRNA,F56:mRNA,F57:Protein,F58:Hallmark,F3:TF(ChIP-seq),F4:Core TF(ChIP-seq),F8:Histone modification,F9:ATAC-seq peak of cistrome & gene_mapper,F10:DHS & gene_mapper,F11:ATAC of cistrome & DHS & gene_mapper,F13:Element number of SE & gene_mapper,F14:Case ChIP signal of SE & gene_mapper,F15:Normalized rank of SE & gene_mapper,F17:Element number of TE & gene_mapper,F18:Case ChIP signal of TE & gene_mapper,F19:Normalized rank of TE & gene_mapper,F20:Element number of TE/SE & gene_mapper,F21:Case ChIP signal of TE/SE & gene_mapper,F22:Normalized rank of TE/SE & gene_mapper,F6:Methylation site,F7:Methylation value,F12:SE & gene_mapper,F16:TE & gene_mapper,F24:Global chromatin interaction,F25:SE/TE & interaction,F26:SE & interaction,F27:TE & interaction,F40:SE/TE & interaction & gene_mapper,F41:SE & interaction & gene_mapper,F42:TE & interaction & gene_mapper,F28:Element number of SE/TE & interaction,F29:Case ChIP signal of SE/TE & interaction,F30:Normalized rank of SE/TE & interaction,F31:Element number of SE & interaction,F32:Case ChIP signal of SE & interaction,F33:Normalized rank of SE & interaction,F34:Element number of TE & interaction,F35:Case ChIP signal of TE & interaction,F36:Normalized rank of TE & interaction,F43:Element number of SE/TE & interaction & gene_mapper,F44:Case ChIP signal of SE/TE & interaction & gene_mapper,F45:Normalized rank of SE/TE & interaction & gene_mapper,F46:Element number of SE & interaction & gene_mapper,F47:Case ChIP signal of SE & interaction & gene_mapper,F48:Normalized rank of SE & interaction & gene_mapper,F49:Element number of TE & interaction & gene_mapper,F50:Case ChIP signal of TE & interaction & gene_mapper,F51:Normalized rank of TE & interaction & gene_mapper,F37:ATAC-seq peak of cistrome & interaction,F39:DHS & interaction,F52:ATAC-seq peak of cistrome & interaction & gene_mapper,F53:DHS & interaction & gene_mapper,F23:ATAC of cistrome & ATAC of ATACdb & gene_mapper,F38:ATAC of ATACdb & interaction,F54:ATAC of ATACdb & interaction & gene_mapper
A1BG-AS1,0,48,49,6,0,373,0,6,0,3,24,52,76,4,40658.404,588,1,5717.344406,16302,1,0,22436,8,7.372174,4,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0
A2M-AS1,0,54,126,0,0,295,1,31,6,4,3,23,26,6,27327.549,259,1,3520.092708,17182,0,0,22897,8,6.09,1,13,16,67,4,63,1,0,1,1,6859.292457,14716,5,37624.8584,538,1,5411.501119,14374,6,27327.5487,21926,6,27327.5487,256,0,0,0,25,38,0,1,11,60,0
A2ML1-AS1,0,73,62,0,0,180,1,1,1,0,0,20,0,0,0,0,2,4856.0616,13675,2,0,13675,1,6.303333,0,1,2,22,2,20,0,0,0,1,13013.77735,20763,4.5,37359.05525,424,1,10579.24956,20646,0,0,0,0,0,0,0,0,0,10,13,0,0,1,15,0
A2ML1-AS2,0,64,24,0,0,179,0,5,0,1,0,19,0,0,0,0,0,0,0,0,0,0,6,7.847059,0,0,2,22,2,20,0,0,0,1,13013.77735,20763,4.5,37359.05525,424,1,10579.24956,20646,0,0,0,0,0,0,0,0,0,10,13,0,0,1,15,0
AB015752.3,0,45,24,0,0,0,0,0,0,3,4,12,16,0,0,0,1,4357.72382,16253,1,0,16508,2,8.961667,0,15,5,44,0,44,0,9,9,1,5049.96986,17402,0,0,0,1,5049.96986,17402,1,4417.899411,17338,0,0,0,1,4417.899411,17338,13,23,4,6,18,46,15
AB019440.50,0,50,15,0,0,0,0,8,0,1,6,21,27,3,28414.511,372,1,524.6007,2632,1,0,1482,12,7.405278,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
ABCA9-AS1,0,45,20,0,0,92,1,2,0,1,13,24,37,0,0,0,1,1616.432758,8766,1,0,8058,1,8.326667,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC5-AS1,1,43,31,0,0,248,0,22,5,3,14,49,63,0,0,0,1.5,3913.542444,11786,0,0,22897,1,8.646667,0,16,11,87,2,85,0,8,8,1.5,14334.70144,18796,7,78071.25589,1025,1,8143.150441,18524,2,4881.436363,12341,0,0,0,2,4881.436363,12341,27,47,2,7,13,79,9
AC000032.2,0,51,17,0,0,0,0,1,0,0,10,25,35,0,0,0,1,3346.2092,10016,0,0,22897,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
AC000036.4,2,54,52,0,0,0,0,1,0,0,9,35,44,0,0,0,1,3113.000574,12173,1,0,6206,4,7.799091,0,19,1,10,4,6,0,0,0,3,21895.39154,22186.5,3,22603.92268,671.5,3,21350.3676,21893.5,0,0,0,0,0,0,0,0,0,3,3,0,0,10,2,0
AC000067.1,0,56,39,0,0,170,1,4,2,1,28,121,149,4,51656.399,866,1,4950.879161,14870.5,1,0,6589,2,8.893333,1,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0
AC000068.10,0,41,8,0,0,0,0,22,6,5,13,67,80,0,0,0,1,6551.193018,19138,0,0,22897,10,7.742727,0,38,10,76,2,74,0,24,24,1,8510.310627,19943,1,30225.8175,329,1,8225.517094,19943,1,8722.687117,20236,0,0,0,1,8722.687117,20236,23,37,7,14,22,33,14
AC000068.5,2,40,23,8,0,0,0,23,6,6,12,65,77,0,0,0,1,6432.895846,19081,1,0,19798,8,7.558125,0,39,11,76,2,74,0,24,24,1,9066.976441,20094,1,28954.30543,329,1,8655.108681,20094,1,8722.687117,20236,0,0,0,1,8722.687117,20236,29,44,7,14,22,42,14
AC000068.9,0,34,9,0,0,0,0,22,6,5,11,46,57,0,0,0,1,7032.285897,19409,1,0,19195,10,7.742727,0,35,10,76,2,74,0,24,24,1,8510.310627,19943,1,30225.8175,329,1,8225.517094,19943,1,8722.687117,20236,0,0,0,1,8722.687117,20236,23,37,7,14,22,33,14
AC000099.1,2,61,18,0,0,0,0,2,1,0,15,28,43,0,0,0,2,6099.14922,15969,2,0,20155,1,8.06,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
AC000111.3,0,24,11,0,0,0,0,18,1,0,21,16,37,13,115234.927,1083,1,5421.57484,12577,0,0,22897,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000111.6,0,30,1,0,0,0,0,10,1,0,25,22,47,13,115234.927,1083,1,5736.4428,11543.5,1,0,6784,0,0,1,6,10,18,1,17,1,1,2,7,49743.663,21266,13,115234.9269,1080,1,9879.415413,19753,10,67446.02505,21979.5,13,115234.9269,1080,7,19657.1232,21209,14,16,7,3,3,18,0
AC000120.7,0,30,22,12,0,0,0,2,0,2,6,19,25,0,0,0,1,7844.924261,18427,0,0,22897,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
AC000123.4,0,63,21,0,0,0,0,9,2,2,13,18,31,0,0,0,1,4749.569393,15826,0,0,22897,8,8.5665,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
AC000124.1,0,75,13,0,0,0,0,5,1,0,4,21,25,0,0,0,0,0,0,0,0,0,1,4.093333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
AC000370.2,0,58,42,0,0,0,0,0,0,0,9,27,36,0,0,0,1,2657.34402,10447,0,0,22897,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AC002044.4,1,58,33,0,0,0,0,32,8,5,32,65,97,6,38839.996,634,1,6703.118107,14474,0,0,22897,1,7.953333,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0
AC002056.5,0,60,50,0,0,115,0,4,2,0,9,32,41,0,0,0,1,3113.000574,12173,1,0,6206,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
AC002059.10,0,43,70,0,0,0,0,4,0,1,13,35,48,1,37811.6225,496.5,1,8483.945216,18344,1,0,22433,2,8.231667,2,25,1,8,0,8,0,1,1,1,5017.50095,12749,0,0,0,1,5017.50095,12749,3,10377.8205,18225,0,0,0,3,10377.8205,18225,2,2,0,0,17,4,0
AC002064.4,0,65,22,0,0,180,0,6,1,2,7,12,19,0,0,0,1.5,5812.7778,10020,0,0,22897,0,0,0,6,1,1,1,0,0,0,0,3,36985.5801,22138,3,36985.5801,411,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,12,1,0
AC002064.5,0,51,32,0,0,0,0,3,0,0,7,14,21,0,0,0,1,4499.061733,14893.5,0,0,22897,1,8.996667,0,12,2,11,1,10,0,0,0,1,5951.580364,13448,3,36985.5801,411,1,2848.18039,13418,0,0,0,0,0,0,0,0,0,8,4,0,0,12,11,0
AC002066.1,2,46,87,0,0,350,0,24,6,5,27,51,78,7,68142.41546,998,1,9329.542472,19693,0,0,22897,11,6.667143,13,43,36,113,24,89,13,31,44,3,29564.5513,21458.5,5,67078.00377,1001,2,12125.18711,19806,3,32108.52028,21839,6,65867.25934,1001,2,14006.00803,20546,40,54,14,22,63,112,44
AC002076.10,0,52,28,0,0,0,0,4,1,0,7,40,47,3,27409.892,310,1,1660.766171,11996,1,0,7772,26,8.501282,1,14,6,31,2,29,1,4,5,1,5383.263351,11970,3,26632.51824,307,1,1841.72087,10957,1.5,10161.30405,11098,3,27409.8924,307,1,1537.009875,8267.5,8,20,0,3,7,34,4
AC002115.5,0,57,50,0,0,0,0,10,2,1,11,45,56,0,0,0,1,4710.8165,16350.5,0,0,22897,0,0,0,34,2,21,0,21,0,10,10,1,4148.444426,14918,0,0,0,1,4148.444426,14918,1,2974.95597,12155,0,0,0,1,2974.95597,12155,6,11,2,3,29,13,6
AC002115.9,0,31,71,0,0,0,0,23,5,5,13,41,54,0,0,0,1,4319.195255,16189,1,0,18205,3,7.946667,0,33,44,127,6,121,0,23,23,2,10608.91926,19839,4,31947.2477,418,2,9487.030275,19642,2,5975.213642,17139.5,0,0,0,2,5975.213642,17139.5,60,88,9,14,31,138,24
AC002116.7,0,52,52,0,0,0,0,30,5,5,17,51,68,4,28823.059,278,1,5627.869793,17571.5,1,0,19588,4,6.994545,1,28,61,161,6,155,1,26,27,2,9362.178658,19309,4,30966.69313,275,2,7827.884924,18773,2,8897.678787,19252,4,28823.0586,275,2,7519.193391,19252,59,109,12,20,38,145,35
AC002116.8,1,33,76,2,0,0,0,25,5,5,16,45,61,4,28823.059,278,1,6014.495673,17857.5,1,0,19475,6,7.519412,1,26,36,131,6,125,1,24,25,1,8918.653297,18026,4,32381.93515,275,1,7212.989191,17565,1,8487.786906,19252,4,28823.0586,275,1,7444.95246,18480.5,43,74,10,16,38,108,28
AC002117.1,1,44,117,0,0,0,0,36,6,4,35,65,100,5,59446.58967,998.5,2,6944.914943,15814,0,0,22897,10,8.418077,12,14,22,27,12,15,12,7,19,6,62981.15685,22718,6,68126.58141,991,2,10133.35885,21846,6,63537.75214,22661,6,68458.1177,1000,2,11381.87719,21935,25,48,23,41,26,32,25
AC002127.4,0,49,10,0,0,0,0,2,0,0,2,35,37,0,0,0,2,8375.8708,14932,2,0,20981,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
AC002128.5,0,61,43,0,0,0,0,4,0,4,12,49,61,0,0,0,1,8513.126823,20317,0,0,22897,0,0,0,26,1,2,0,2,0,0,0,4,15461.53895,20798.5,0,0,0,4,15461.53895,20798.5,0,0,0,0,0,0,0,0,0,4,8,0,0,20,6,0
AC002306.1,0,52,75,0,0,239,0,33,6,4,29,73,102,11,55619.028,732,1,5405.35252,17399.5,1,0,19063,0,0,1,50,16,58,2,56,1,11,12,3,14124.19452,19749,11,48962.53893,729,2,10845.29151,19679,5,21759.07102,20755,11,55619.0283,729,4,12926.03868,19692,30,36,9,11,19,47,4
AC002310.12,2,36,95,2,0,0,0,31,6,5,24,48,72,2,28509.431,897,2,10135.47345,20205,0,0,22897,12,7.975882,3,23,88,326,29,297,3,23,26,2,16234.34735,20813,6,41247.20829,849,2,11353.78912,20338,2,16839.42496,20809,8,36324.81666,894,2,12264.59387,20582,150,220,20,26,26,332,26
AC002310.7,0,31,82,0,0,0,0,31,7,4,30,44,74,2,28509.431,897,1,8478.695077,19409,0,0,22897,10,8.204,3,35,43,140,19,121,3,35,38,3,19519.10995,21066,6,42279.86225,894,2,12641.57362,20639,2,15267.81079,20405,8,38929.94523,894,2,10891.93661,20086,76,96,24,27,31,155,31
AC002331.1,0,56,33,3,0,0,0,7,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AC002383.2,0,70,9,0,0,0,0,2,1,0,6,37,43,0,0,0,1,2204.542933,11194,1,0,11194,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002386.1,0,52,4,0,0,74,0,0,0,0,2,6,8,0,0,0,1,283.0555,2827,1,0,2827,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002398.11,0,29,120,0,0,0,0,33,7,5,32,43,75,4,31366.062,421,2,8283.089484,20124,0,0,22897,17,8.188824,1,31,17,114,6,108,1,21,22,3,11288.17765,20128,4,32077.42224,418,2,9988.849868,19839,4,14904.57265,21224,4,31366.062,418,4,13560.7776,21224,47,64,14,16,54,117,32
AC002398.12,0,28,43,0,0,0,0,25,6,5,30,40,70,4,31366.062,421,2,8749.294466,20288,0,0,22897,7,8.357143,1,29,52,129,6,123,1,22,23,3,12793.16726,20852,4,31671.94921,418,3,11453.74659,20689,4,14632.65915,21224,4,31366.062,418,4,13311.60103,21224,65,100,22,26,49,134,42
AC002398.13,2,51,172,0,0,0,0,17,5,5,23,40,63,4,31366.062,421,3,8129.316144,19248.5,3,0,5090,4,8.074444,1,18,15,126,2,124,1,7,8,2,9405.324489,19557,4,29571.00078,275,2,8563.023514,19403,4,19019.72774,21231,4,31366.062,418,4,17476.43596,21227.5,43,69,2,4,35,103,7
AC002401.1,0,42,186,0,0,265,0,16,4,5,25,52,77,8,45954.45,613,1,7925.1764,17612,1,0,3059,12,7.503143,1,28,6,32,1,31,1,10,11,1,9830.891818,17170,8,45954.4497,610,1,7957.818447,16493,1,17656.95335,21492,8,45954.4497,610,1,14827.20372,21452,14,21,3,3,25,20,0
AC002429.5,0,55,6,0,0,0,0,0,0,1,16,100,116,6,25318.005,108,1,3513.192776,14643,0,0,22897,0,0,1,29,9,13,1,12,0,4,4,2,11028.57759,11419,5,48775.8096,816,1,2939.885021,8975.5,1.5,4463.219475,13222.5,0,0,0,1.5,4463.219475,13222.5,10,24,4,12,4,26,0
AC002451.3,0,47,11,0,0,0,0,23,5,3,31,121,152,4,39287.974,622,1,2488.611271,8603,1,0,7586,14,6.273214,2,17,27,54,2,52,1,8,9,1,7767.92064,14933,4,36481.58068,397,1,3526.129952,14147,2,16213.23221,11362,5,48775.8096,816,1.5,2645.491633,8052,26,54,6,12,21,71,19
AC002454.1,0,27,66,0,0,40,3,33,7,6,52,132,184,2,26376.143,309,1,5716.156646,13600,0,0,22897,4,7.6,2,74,16,51,3,48,2,28,30,2,16439.63147,19436.5,3,63960.98848,312,2,10782.32706,18923,2,13070.70732,20183,3,26554.07727,300,2,11544.28808,19628,27,41,18,29,29,44,11
AC002456.2,0,62,20,0,0,0,0,9,3,3,4,17,21,0,0,0,1,2315.359529,9520,1,0,8860,9,7.779565,0,7,9,14,0,14,0,1,1,1,4887.041413,14571.5,0,0,0,1,4887.041413,14571.5,1,2911.9805,10166,0,0,0,1,2911.9805,10166,7,5,0,0,12,9,0
AC002463.3,1,49,26,0,0,0,0,5,0,0,15,24,39,0,0,0,1,3281.656229,15700,1,0,16310,3,8.883333,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
AC002467.7,3,53,27,0,0,0,0,18,4,6,13,15,28,0,0,0,1,5702.960913,18510,1,0,19458,4,7.905833,0,15,32,61,1,60,0,1,1,2,8091.655877,16855,4,24798.219,88,2,7118.458025,16753,1,502.7847,2748,0,0,0,1,502.7847,2748,35,45,3,0,13,63,0
AC002472.11,0,60,36,0,0,0,0,4,0,0,11,38,49,0,0,0,1,7699.794443,19300,0,0,22897,4,7.126667,0,28,1,12,0,12,0,12,12,1,5206.807633,18401,0,0,0,1,5206.807633,18401,1,5206.807633,18344,0,0,0,1,5206.807633,18344,2,5,2,5,13,4,4
AC002480.3,1,86,55,0,0,0,1,18,3,2,49,153,202,0,0,0,1,3691.680751,12791,1,0,3009,5,6.384167,0,53,19,53,4,49,0,1,1,1,15268.56601,17353.5,6,89303.00297,1088,1,7295.626643,17032,4,19552.9776,20984,0,0,0,4,19552.9776,20984,16,39,1,4,8,50,0
AC002480.4,0,52,16,0,0,246,0,15,1,1,4,21,25,0,0,0,3,17951.0608,20899.5,0,0,22897,1,9.003333,0,2,16,38,4,34,0,2,2,1,22785.77384,20067,6,94431.51878,1088,1,9456.332923,18306,4,18485.03307,20984,0,0,0,4,18485.03307,20984,11,28,3,7,5,34,3
AC002511.1,1,65,24,0,0,215,1,6,1,0,9,38,47,3,30699.821,534,1,3293.532467,9688,1,0,6343,0,0,1,6,4,15,4,11,0,3,3,2.5,15390.5242,20286,4,35483.00468,585.5,2,10925.52854,19349,1,4742.4316,10019,0,0,0,1,4742.4316,10019,6,13,0,2,1,15,0
AC002511.2,0,58,80,0,0,215,0,3,0,0,11,38,49,3,30699.821,534,1,3086.040329,9238,0,0,22897,0,0,1,7,13,61,6,55,0,3,3,3,12308.41767,20402,4,31850.35101,418,2,10971.33802,20226,2,4676.552233,6224,0,0,0,2,4676.552233,6224,25,46,1,4,1,47,0
AC002511.3,0,79,48,0,0,0,0,11,3,1,10,36,46,3,30699.821,534,1,3204.3833,9238,0,0,22897,0,0,1,7,19,76,7,69,1,2,3,2,11860.84437,20140.5,4,31634.62659,418,2,10473.21053,20002,2,14488.7973,19292,3,30699.8208,531,2,6383.28555,12674,30,56,1,3,1,53,0
AC002519.8,0,42,11,0,0,0,0,0,0,0,10,38,48,0,0,0,1,4175.621867,15916.5,0,0,22897,0,0,0,12,2,21,0,21,0,12,12,2,4416.528673,15943,0,0,0,2,4416.528673,15943,1,4175.621867,15797.5,0,0,0,1,4175.621867,15797.5,5,8,3,4,0,15,0
AC002539.1,1,36,32,0,0,0,0,7,0,0,12,10,22,0,0,0,1,3898.008486,13489,1,0,18500,9,6.934815,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
AC002550.5,0,70,19,0,0,0,0,17,2,4,8,36,44,5,34194.66,607,1,4846.350244,16531.5,1,0,22393,3,8.485556,1,16,19,36,1,35,1,14,15,2,6569.773496,16447,5,34194.66,604,2,4928.69113,16447,1,8198.121847,17039.5,5,34194.66,604,1,5309.617607,16740,16,22,5,7,11,30,8
AC002551.1,0,45,27,0,0,154,0,12,2,2,14,39,53,0,0,0,1,3137.0236,13023,0,0,22897,0,0,0,18,11,14,0,14,0,7,7,1,4035.947443,12326,0,0,0,1,4035.947443,12326,1,3057.866643,13680,0,0,0,1,3057.866643,13680,12,26,7,5,1,20,0
AC003005.2,1,53,23,2,0,196,0,9,1,2,7,29,36,0,0,0,1,3985.845465,13952,1,0,19145,11,6.245455,0,17,3,30,0,30,0,11,11,1,3234.207584,13890,0,0,0,1,3234.207584,13890,1,3587.096791,13833,0,0,0,1,3587.096791,13833,7,9,3,5,13,23,8
AC003009.1,0,68,12,0,0,103,0,2,0,0,1,9,10,0,0,0,1,3226.9335,11431.5,0,0,22897,1,5.823333,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003051.1,0,58,35,0,0,0,0,26,7,2,5,13,18,0,0,0,1,2515.10614,12680.5,0,0,22897,1,3.686667,0,10,9,21,0,21,0,7,7,1,3495.932678,12670,0,0,0,1,3495.932678,12670,1,2932.563725,13231.5,0,0,0,1,2932.563725,13231.5,15,11,1,2,17,22,7
AC003075.4,0,43,61,0,0,0,0,29,7,5,26,35,61,0,0,0,1,4094.128018,13597,1,0,20077,3,5.101429,0,33,13,35,0,35,0,12,12,1,5502.086817,14296.5,0,0,0,1,5502.086817,14296.5,1,3393.396208,12040.5,0,0,0,1,3393.396208,12040.5,16,21,4,4,14,35,5
AC003084.2,0,37,10,0,0,103,0,1,0,0,31,66,97,0,0,0,1,3409.989731,13577,0,0,22897,1,8.2,0,26,1,3,0,3,0,3,3,2,1860.791133,10229,0,0,0,2,1860.791133,10229,2,1860.791133,10172,0,0,0,2,1860.791133,10172,3,9,3,9,10,7,0
AC003088.1,1,41,16,0,0,0,0,4,1,1,11,26,37,0,0,0,1,1152.752567,10098,0,0,22897,1,4.525,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
AC003090.1,0,80,12,0,0,0,0,1,1,0,5,35,40,0,0,0,1.5,6522.56595,16721,0,0,22897,1,4.96,0,4,44,17,1,16,0,1,1,1,21451.9219,11700,3,69427.04,1006,1,2794.931528,10594,2,5577.1988,14682,0,0,0,2,5577.1988,14682,20,28,0,6,0,28,0
AC003092.1,0,45,0,8,0,268,0,2,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
AC003092.2,0,76,3,0,0,147,0,1,0,0,23,101,124,1,23523.022,133,1,2825.892924,11693.5,1,0,5054,0,0,1,38,2,9,0,9,0,0,0,1,1696.082133,9951,0,0,0,1,1696.082133,9951,0,0,0,0,0,0,0,0,0,2,4,0,0,2,11,0
AC003102.3,0,50,160,0,0,0,0,25,5,6,13,53,66,0,0,0,1,4956.418839,14438,0,0,22897,15,6.991707,0,28,28,129,11,118,0,27,27,2,15174.55361,19565,6,50821.34678,764,1,7266.561945,17961,1,4917.734752,13837,0,0,0,1,4917.734752,13837,32,80,6,13,9,22,6
AC003104.1,0,33,37,13,0,0,0,24,6,4,15,40,55,0,0,0,1,4099.246076,10984,1,0,6704,7,7.156667,0,17,16,59,12,47,0,7,7,4,24634.71178,21295,9,55920.08079,794,2,8704.125113,15914,2,8381.070811,15041,0,0,0,2,8381.070811,15041,21,36,4,6,0,13,0
AC003664.1,0,72,9,0,0,0,0,14,2,1,11,34,45,0,0,0,1,4695.809393,11775,1,0,8238,1,3.276667,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
AC003665.1,0,36,42,2,0,0,0,36,8,5,33,43,76,5,48543.195,903,2,8510.933168,19830,2,0,19975,4,6.319,7,28,35,101,22,79,7,28,35,3,30471.94218,21529.5,5,58012.38977,911,2,9537.316225,19635,4,29723.93381,21323,5,56464.77703,911,2,8713.271283,19711,70,81,24,23,37,72,37
AC003682.16,0,54,6,0,0,0,0,2,0,2,14,37,51,0,0,0,1,1297.059416,8951,1,0,8523,3,6.816667,0,43,7,56,9,47,0,0,0,1,10322.25978,16997,5,41844.80623,877,1,5990.917517,15584,0,0,0,0,0,0,0,0,0,18,22,0,0,25,39,0
AC003956.1,1,67,99,0,0,329,0,5,1,4,10,88,98,5,43361.34,736,1,4395.258705,14844,0,0,22897,4,9.1725,1,19,8,52,2,50,1,4,5,1,8461.432567,18119,3.5,33376.3112,432.5,1,7231.06819,17898,1,9821.44442,9131,5,43361.3397,733,1,1436.4706,8710.5,13,28,0,2,11,26,0
AC003958.2,0,59,16,0,0,0,0,9,5,3,7,71,78,0,0,0,1,5786.733426,13403,1,0,19240,12,8.551111,0,19,5,33,16,17,0,0,0,4,46184.93413,22403,4,70368.1451,872,2,13630.61167,21680,0,0,0,0,0,0,0,0,0,14,29,0,0,3,8,0
AC003973.4,1,78,27,0,0,0,0,0,0,0,1,6,7,0,0,0,1,1061.7148,5517,1,0,5517,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003984.1,0,47,6,0,0,0,0,17,5,1,24,60,84,18,44096.589,804,1,3603.970626,13046.5,1,0,20649,2,9.101667,1,50,5,4,0,4,0,4,4,2,7403.991125,17353,0,0,0,2,7403.991125,17353,2,7403.991125,17296,0,0,0,2,7403.991125,17296,0,0,0,0,4,0,0
AC003985.1,2,78,14,0,0,92,0,1,1,0,4,6,10,0,0,0,1,1688.193,10398,1,0,10398,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003986.5,0,62,40,0,0,0,0,6,2,0,7,19,26,0,0,0,1,4698.451,14995,1,0,14995,13,7.841842,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
AC003986.6,1,48,15,0,0,0,0,5,1,0,4,21,25,0,0,0,1,2518.669167,11379,1,0,3812,20,7.991167,0,3,9,3,0,3,0,1,1,1,4657.83006,14933,0,0,0,1,4657.83006,14933,1,4698.451,14876,0,0,0,1,4698.451,14876,3,8,1,4,8,3,0
AC003986.7,0,40,63,0,0,0,0,9,4,3,4,20,24,0,0,0,1,2518.669167,11379,1,0,3812,43,8.185952,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,3,8,3,0
